itemid,movies,actors
1,Toy Story (1995),"['Tom Hanks', 'Tim Allen', 'Don Rickles']"
2,GoldenEye (1995),"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco']"
3,Four Rooms (1995),"['Sammi Davis', 'Amanda De Cadenet', 'Valeria Golino']"
4,Get Shorty (1995),"['John Travolta', 'Gene Hackman', 'Rene Russo']"
5,Copycat (1995),"['Sigourney Weaver', 'Holly Hunter', 'Dermot Mulroney']"
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"['Gong Li', 'Baotian Li', 'Xiaoxiao Wang']"
7,Twelve Monkeys (1995),"['Joseph Melito', 'Bruce Willis', 'Jon Seda']"
8,Babe (1995),"['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann']"
9,Dead Man Walking (1995),"['Susan Sarandon', 'Sean Penn', 'Robert Prosky']"
10,Richard III (1995),"['Christopher Bowen', 'Edward Jewesbury', 'Ian McKellen']"
11,Seven (Se7en) (1995),Unknow
12,The Usual Suspects (1995),"['Stephen Baldwin', 'Gabriel Byrne', 'Benicio Del Toro']"
13,Mighty Aphrodite (1995),"['Pamela Blair', 'Rene Ceballos', 'Elie Chaib']"
14,Il Postino (1994),"['Philippe Noiret', 'Massimo Troisi', 'Maria Grazia Cucinotta']"
15,Mr. Holland's Opus (1995),"['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas']"
16,French Twist (Gazon maudit) (1995),['Unknow']
17,From Dusk Till Dawn (1996),"['George Clooney', 'Quentin Tarantino', 'Harvey Keitel']"
18,The White Balloon (1995),"['Aida Mohammadkhani', 'Mohsen Kafili', 'Fereshteh Sadre Orafaiy']"
19,Antonia's Line (1995),"['Willeke van Ammelrooy', 'Els Dottermans', 'Dora van der Groen']"
20,Angels and Insects (1995),"['Mark Rylance', 'Kristin Scott Thomas', 'Patsy Kensit']"
21,Muppet Treasure Island (1996),"['Tim Curry', 'Billy Connolly', 'Jennifer Saunders']"
22,Braveheart (1995),"['James Robinson', 'Sean Lawlor', 'Sandy Nelson']"
23,Taxi Driver (1976),"['Diahnne Abbott', 'Frank Adu', 'Victor Argo']"
24,Rumble in the Bronx (1995),"['Jackie Chan', 'Anita Mui', 'Françoise Yip']"
25,The Birdcage (1996),"['Robin Williams', 'Gene Hackman', 'Nathan Lane']"
26,The Brothers McMullen (1995),"['Shari Albert', 'Maxine Bahns', 'Catharine Bolz']"
27,Bad Boys (1995),"['Lisa Boyle', 'Michael Taliferro', 'Emmanuel Xuereb']"
28,Apollo 13 (1995),"['Tom Hanks', 'Bill Paxton', 'Kevin Bacon']"
29,Batman Forever (1995),"['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey']"
30,Belle de jour (1967),"['Catherine Deneuve', 'Jean Sorel', 'Michel Piccoli']"
31,Crimson Tide (1995),"['Denzel Washington', 'Gene Hackman', 'Matt Craven']"
